id,start_time,end_time,awake,deep,light,stages,deleted,manually
251,1534711080,1534744080,0,231,319,10L10D5L32D28L69D6L33D32L25D45L27D5L10D107L10D17L15D64L,0,0
252,1534798920,1534828860,0,272,227,12L51D8L25D2L15D11L37D55L10D2L13D6L32D7L47D55L16D54L10D9L16D6L,0,0
253,1534885380,1534913400,0,243,224,10L57D8L48D8L10D23L17D17L51D17L13D2L18D28L11D36L18D75L,0,1
254,1534969800,1535004300,0,269,306,10L22D10L43D3L26D36L10D17L89D17L10D39L10D13L28D15L10D113L10D26L11D7L,0,1
255,1535058840,1535080920,18,40,309,37L17D172L10D39L18A31L13D30L,0,0
256,1535140740,1535166480,0,307,122,20L38D6L69D4L51D3L37D10L10D8L38D4L26D2L13D36L10D6L15D23L,0,0
257,1535231040,1535258340,0,350,105,10L35D17L14D2L14D4L55D22L46D17L18D21L62D5L35D2L41D2L30D3L,0,0
258,1535320320,1535345460,0,208,211,10L66D3L43D43L15D12L12D17L12D4L10D29L10D20L19D66L10D7L11D,0,0
259,1535403360,1535431740,0,224,249,20L15D2L39D6L13D8L17D9L25D5L24D10L14D43L18D46L27D20L10D27L10D52L12D1L,0,0
260,1535488020,1535517180,0,245,241,10L15D11L21D32L32D11L10D17L17D15L11D13L14D15L32D55L11D2L39D46L17D5L26D9L,0,0
261,1535571660,1535603940,0,257,281,15L60D13L74D31L18D5L37D59L24D70L10D11L22D41L12D36L,0,1
262,1535662140,1535691300,15,227,243,26L18D2L59D22L12D16L28D25L15A33L14D38L19D17L11D15L33D7L33D42L,0,0
263,1535745420,1535777760,0,261,278,28L20D18L30D10L38D31L50D28L16D2L28D17L22D35L16D21L17D9L13D36L11D43L,0,0
264,1535837580,1535869500,0,174,358,11L16D11L22D8L11D145L18D2L16D58L16D24L11D12L13D48L11D18L28D21L12D,0,0
265,1535923380,1535954340,0,224,292,24L14D2L39D11L40D4L34D67L13D15L29D17L12D2L12D86L11D43L20D21L,0,0
266,1536011520,1536040320,0,282,198,11L27D2L64D2L10D2L16D13L28D9L52D28L12D82L15D5L17D13L15D20L14D6L12D5L,0,0
267,1536096720,1536127260,0,230,279,31L30D6L10D10L30D7L74D53L10D6L17D27L10D14L33D83L16D42L,0,0
268,1536185340,1536213900,0,224,252,28L49D33L46D16L12D21L37D26L12D7L13D7L14D8L31D78L10D28L,0,0
269,1536271500,1536300000,0,212,263,10L40D10L11D39L30D3L23D4L13D21L12D14L11D42L23D4L20D89L11D7L18D20L,0,1
270,1536361860,1536394080,2,243,292,21L2A12L35D2L12D12L59D7L12D29L11D9L34D29L10D19L12D22L10D36L11D29L12D28L25D37L,0,0
271,1536442620,1536474960,0,316,223,26L70D12L32D4L23D8L31D3L10D9L16D11L12D17L37D11L10D27L11D11L10D49L24D8L14D2L16D25L,0,0
272,1536532500,1536558840,0,252,187,12L20D5L25D10L16D7L39D42L30D11L10D20L13D8L32D10L16D24L39D24L12D14L,0,1
273,1536612660,1536645540,0,266,282,25L16D11L19D6L40D11L29D30L14D9L55D13L11D19L16D2L11D34L12D33L26D70L17D19L,0,0
274,1536700980,1536731940,0,224,292,14L53D28L28D6L18D32L20D40L29D5L19D53L22D56L25D58L10D,0,1
275,1536790500,1536818460,0,272,194,10L43D2L18D2L15D2L18D2L23D67L11D2L15D11L38D7L36D14L12D7L11D14L32D54L,0,1
276,1536872340,1536904740,0,188,352,39L24D21L10D7L33D56L17D2L32D16L12D16L16D17L18D42L10D114L16D22L,0,0
277,1536960900,1536994020,0,309,243,11L70D10L51D3L65D25L26D26L16D39L32D57L14D50L24D17L11D5L,0,0
278,1537049760,1537078380,0,259,218,35L99D29L58D12L19D27L27D46L33D9L11D39L12D21L,0,0
